2025-11-01 16:02:43.220 [JavaFX-Launcher] INFO  com.datacomp.ui.DataCompApp - Initializing DataComp application
2025-11-01 16:02:43.430 [JavaFX Application Thread] INFO  com.datacomp.ui.MainViewController - Initializing main view controller
2025-11-01 16:02:44.179 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:02:44.743 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 16:02:44.762 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 16:02:44.994 [JavaFX Application Thread] INFO  com.datacomp.ui.DataCompApp - Application started successfully
2025-11-01 16:03:07.903 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:03:07.924 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 16:03:07.937 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 16:03:20.083 [pool-3-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing input.tar (61419520 bytes) into 2 chunks
2025-11-01 16:03:22.579 [pool-3-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 61419520 -> 50411818 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:04:45.417 [pool-3-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing input.tar (61419520 bytes) into 2 chunks
2025-11-01 16:04:46.924 [pool-3-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 61419520 -> 50411818 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:05:17.740 [pool-3-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing input.tar.dcz to input.tar
2025-11-01 16:05:17.747 [pool-3-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Decompressing 2 chunks, original size: 61419520 bytes
2025-11-01 16:05:17.760 [JavaFX Application Thread] ERROR com.datacomp.ui.CompressController - Decompression failed
java.lang.RuntimeException: Decode error at position 0
	at com.datacomp.service.cpu.CpuCompressionService.decodeChunk(CpuCompressionService.java:272)
	at com.datacomp.service.cpu.CpuCompressionService.decompress(CpuCompressionService.java:226)
	at com.datacomp.service.gpu.GpuCompressionService.decompress(GpuCompressionService.java:84)
	at com.datacomp.ui.CompressController$2.call(CompressController.java:190)
	at com.datacomp.ui.CompressController$2.call(CompressController.java:185)
	at javafx.graphics@21.0.1/javafx.concurrent.Task$TaskCallable.call(Task.java:1399)
	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:317)
	at java.base/java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:572)
	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:317)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1144)
